day	s1	s2	s3	s4	s5
2013-11-19	11	48	35	0	0
2013-11-20	7	46	35	0	0
2013-11-21	9	47	36	0	0
2013-11-22	5	46	35	0	0
2013-11-23	3	42	34	0	0
2013-11-24	2	41	34	0	0
2013-11-25	6	49	41	0	0
2013-11-26	8	51	42	0	0
2013-11-27	10	48	38	0	0
2013-11-28	1	44	36	0	0
2013-11-29	2	43	35	0	0
2013-12-00	0	0	0	0	0
2013-12-01	0	43	35	0	0
2013-12-02	13	42	35	0	0
2013-12-03	8	42	35	0	0
2013-12-04	9	39	31	0	0
2013-12-05	3	39	31	0	0
2013-12-06	3	40	32	0	0
2013-12-07	1	39	31	0	0
2013-12-08	1	39	31	0	0
2013-12-09	12	43	36	0	0
2013-12-10	7	44	37	0	0
2013-12-11	4	44	36	0	0
2013-12-12	10	39	31	0	0
2013-12-13	8	40	32	0	0
2013-12-14	2	39	31	0	0
2013-12-15	1	40	32	0	0
2013-12-20	8	41	33	6	0
2013-12-21	1	38	30	1	0
2013-12-22	2	38	30	1	0
2013-12-23	4	37	30	3	0
2013-12-24	0	37	30	0	0
2013-12-25	1	37	30	1	0
2013-12-26	3	37	30	1	0
2013-12-27	6	41	32	3	0
2013-12-28	2	41	32	2	0
2013-12-29	1	41	32	1	0
2013-12-30	1	44	34	1	0
2013-12-31	5	44	34	1	0
2014-01-01	6	42	32	4	0
2014-01-02	9	43	33	4	0
2014-01-03	6	42	32	2	0
2014-01-04	3	41	32	3	0
2014-01-05	3	42	33	2	0
2014-01-06	7	42	32	4	0
2014-01-07	10	44	34	6	0
2014-01-08	9	47	37	4	0
2014-01-09	12	50	40	5	0
2014-01-10	10	54	43	5	0
2014-01-11	1	52	42	1	0
2014-01-12	3	52	42	1	0
2014-01-13	10	51	42	7	0
2014-01-14	13	56	46	8	0
2014-01-15	5	54	44	3	0
2014-01-16	13	66	51	8	0
2014-01-17	14	80	63	9	0
2014-01-18	2	71	57	2	0
2014-01-19	4	73	58	2	0
2014-01-20	25	70	59	23	0
2014-01-21	11	73	61	6	0
2014-01-22	10	80	63	8	0
2014-01-23	11	86	67	10	0
2014-01-24	8	80	63	4	0
2014-01-25	3	77	62	2	0
2014-01-26	1	72	57	0	0
2014-01-27	13	84	64	10	0
2014-01-28	14	81	66	11	0
2014-01-29	21	95	73	17	0
2014-01-30	19	99	78	16	0
2014-01-31	14	100	78	13	0
2014-02-01	8	96	73	8	0
2014-02-02	4	95	73	3	0
2014-02-03	23	106	82	20	0
2014-02-04	18	108	85	13	0
2014-02-05	16	114	87	15	0
2014-02-06	19	127	97	14	0
2014-02-07	10	127	96	6	0
2014-02-08	8	125	96	6	0
2014-02-09	6	120	92	5	0
2014-02-10	30	128	99	24	0
2014-02-11	21	135	105	17	0
2014-02-12	33	143	106	26	0
2014-02-13	15	149	110	15	0
2014-02-14	18	154	108	13	0
2014-02-15	11	154	105	8	0
2014-02-16	10	153	105	8	0
2014-02-17	18	161	109	14	0
2014-02-18	26	155	105	22	0
2014-02-19	14	159	107	11	0
2014-02-20	20	161	109	15	0
2014-02-21	15	161	109	10	0
2014-02-22	9	160	107	8	0
2014-02-23	4	160	107	2	0
2014-02-24	25	164	111	21	0
2014-02-25	19	162	109	13	0
2014-02-26	20	169	114	15	0
2014-02-27	22	169	114	17	0
2014-02-28	17	167	113	15	0
2014-03-01	4	159	107	4	0
2014-03-02	6	160	110	6	0
2014-03-03	20	159	110	14	0
2014-03-04	11	161	112	8	0
2014-03-05	14	160	110	12	0
2014-03-06	13	161	110	10	0
2014-03-07	12	158	109	10	0
2014-03-08	5	156	107	5	0
2014-03-09	4	153	106	4	0
2014-03-10	15	153	104	11	0
